Pause Before,Size,Left Span,Right Span,Weight,RL Ratio,WS Ratio
1623,3,2,3,2,1.5,0.6666666666666666
952,2,1,2,1,2.0,0.5
2246,3,2,2,2,1.0,0.6666666666666666
18626,4,3,2,2,0.6666666666666666,0.5
1014,5,4,3,3,0.75,0.6
27612,7,4,4,3,1.0,0.42857142857142855
920,6,4,3,3,0.75,0.5
452,7,5,3,3,0.6,0.42857142857142855
1170,5,4,2,2,0.5,0.39999999999999997
998,2,2,2,2,1.0,1.0
4946,2,2,2,2,1.0,1.0
2558,3,3,2,2,0.6666666666666666,0.6666666666666666
874,1,1,1,1,1.0,1.0
5772,1,1,1,1,1.0,1.0
983,2,2,1,1,0.5,0.5
296,2,1,2,1,2.0,0.5
3760,3,2,2,2,1.0,0.6666666666666666
967,4,3,2,2,0.6666666666666666,0.5
44944,2,2,2,2,1.0,1.0
312,4,2,4,2,2.0,0.5
874,5,3,4,3,1.3333333333333333,0.6
1186,3,2,3,2,1.5,0.6666666666666666
1092,4,3,3,3,1.0,0.75
2059,3,3,3,3,1.0,1.0
359,4,4,3,3,0.75,0.75
2699,5,5,3,3,0.6,0.6
5710,2,2,2,2,1.0,1.0
10936,3,3,2,2,0.6666666666666666,0.6666666666666666
3448,4,4,2,2,0.5,0.5
6380,5,5,2,2,0.39999999999999997,0.39999999999999997
1155,2,2,2,2,1.0,1.0
4446,1,1,1,1,1.0,1.0
1560,1,1,1,1,1.0,1.0
6599,2,2,1,1,0.5,0.5
2481,4,3,2,2,0.6666666666666666,0.5
3463,3,3,1,1,0.3333333333333333,0.3333333333333333
1498,4,4,1,1,0.25,0.25
2590,2,1,2,1,2.0,0.5
1779,3,2,2,2,1.0,0.6666666666666666
905,4,3,2,2,0.6666666666666666,0.5
1966,2,2,2,2,1.0,1.0
1107,1,1,1,1,1.0,1.0
2855,1,1,1,1,1.0,1.0
10311,2,2,1,1,0.5,0.5
1419,4,1,4,1,4.0,0.25
3588,5,2,4,2,2.0,0.39999999999999997
1607,4,2,4,2,2.0,0.5
1186,5,3,4,2,1.3333333333333333,0.39999999999999997
655,6,4,4,2,1.0,0.3333333333333333
1295,4,2,4,2,2.0,0.5
9266,3,1,3,1,3.0,0.3333333333333333
2091,5,2,4,2,2.0,0.39999999999999997
2184,4,2,3,2,1.5,0.5
2808,5,3,3,2,1.0,0.39999999999999997
281,6,4,3,2,0.75,0.3333333333333333
9064,7,5,3,2,0.6,0.2857142857142857
1295,2,1,2,1,2.0,0.5
7223,3,2,2,2,1.0,0.6666666666666666
5991,4,3,3,3,1.0,0.75
889,5,3,3,3,1.0,0.6
6958,6,4,3,3,0.75,0.5
390,4,3,2,2,0.6666666666666666,0.5
5304,5,4,2,2,0.5,0.39999999999999997
1107,6,5,2,2,0.39999999999999997,0.3333333333333333
3573,2,2,2,2,1.0,1.0
3260,3,3,2,2,0.6666666666666666,0.6666666666666666
5023,1,1,1,1,1.0,1.0
1404,1,1,1,1,1.0,1.0
3620,2,2,2,2,1.0,1.0
608,3,3,2,2,0.6666666666666666,0.6666666666666666
1061,2,2,1,1,0.5,0.5
436,3,3,1,1,0.3333333333333333,0.3333333333333333
4742,2,1,2,1,2.0,0.5
827,3,2,2,2,1.0,0.6666666666666666
406,2,2,2,2,1.0,1.0
5678,3,3,2,2,0.6666666666666666,0.6666666666666666
873,4,4,2,2,0.5,0.5
3339,1,1,1,1,1.0,1.0
4742,1,1,1,1,1.0,1.0
3104,2,1,2,1,2.0,0.5
1233,3,2,2,2,1.0,0.6666666666666666
796,4,3,2,2,0.6666666666666666,0.5
3385,1,1,1,1,1.0,1.0
640,2,2,1,1,0.5,0.5
921,4,1,4,1,4.0,0.25
6209,3,1,3,1,3.0,0.3333333333333333
43993,4,2,3,2,1.5,0.5
