n	head_initial	mean_hierarchical_distance	tree_diameter	num_crossings	predicted_num_crossings	exp_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	mean_dependency_distance
17	0.5	2.125	7	0	4.22944	30.3333	48	96	3
16	0.466667	2.46667	5	0	1.50807	26.3333	41	85	2.73333
44	0.325581	4.5814	11	0	21.8772	270.667	142	645	3.30233
10	0.444444	2.11111	4	0	1.30985	6.66667	23	33	2.55556
14	0.538462	1.61538	5	0	1.4737	17.6667	50	65	3.84615
5	0.5	1.25	3	0	0	0.666667	7	8	1.75
8	0.428571	1.42857	4	0	0	3.66667	12	21	1.71429
1	nan	nan	0	0	0	0	0	0	nan
36	0.428571	3.22857	9	1	16.47	172.333	116	431.667	3.31429
24	0.521739	2.6087	8	1	5.25713	71.3333	55	191.667	2.3913
21	0.3	1.8	6	0	8.74774	41	63	146.667	3.15
13	0.416667	1.66667	5	0	1.79519	13	39	56	3.25
23	0.409091	2.18182	6	0	5.89946	62	91	176	4.13636
12	0.272727	1.54545	4	0	3.83995	9.66667	30	47.6667	2.72727
9	0.25	1.625	4	0	1.77041	5	22	26.6667	2.75
21	0.35	2.1	6	0	5.39143	49	55	146.667	2.75
12	0.181818	1.72727	5	0	2.2716	11.6667	25	47.6667	2.27273
20	0.315789	2.10526	7	0	8.09424	45	62	133	3.26316
78	0.337662	3.88312	13	0	43.0181	912	247	2027.67	3.20779
38	0.378378	2.2973	9	0	13.9433	194.333	108	481	2.91892
