n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_bipartite	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_bipartite	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths	max_sum_edge_lengths_1_thistle	max_sum_edge_lengths_bipartite	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_tree
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
16	5.875	3.6875	25.125	15.9375	94	59	402	255	73	0.333333	0.197802	25	1.66667	2	17	2	17	4	2	0	5.19839	24.3333	59.8556	-3.14521	56	85	120	48	57.625	191.533	-2.09544	29	0	29	29	151	149	0	108	78	3.73333	2	1.6	1	5	2.2	1	4	2.6	1	7	3.73333	1	4	1.49333	0.4	1	0.533492	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
8	4.25	2.375	13	6.875	34	19	104	55	11	0.428571	0.266667	11	1.57143	3	9	3	5	4	0	0	0.571429	3.66667	4.78889	-1.67554	11	21	28	15.6667	17.6667	16.6	-2.4544	10	0	10	10	35	33	0	28	24	1.57143	2	1.14286	1	2	1.42857	1	2	1.28571	1	2	1.57143	1	2	1	0.5	1	0.785714	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
16	5.875	3.6875	25.125	15.9375	94	59	402	255	73	0.333333	0.197802	25	1.66667	2	17	2	17	4	2	0	5.19839	24.3333	59.8556	-3.14521	56	85	120	48	57.625	191.533	-2.09544	29	0	29	29	151	149	0	108	78	3.73333	2	1.6	1	5	2.2	1	4	2.6	1	7	3.73333	1	4	1.49333	0.4	1	0.533492	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
9	3.77778	1.77778	9.11111	4.22222	34	16	82	38	19	0.25	0.0952381	16	2	5	10	5	10	6	0	0	0.75	6.33333	8.95556	-2.11634	13	26.6667	36	18.6667	20.6667	23.6667	-2.80927	10	0	10	10	44	42	0	36	31	1.625	2	1.25	1	2	1.625	1	2	1.25	1	2	1.625	1	1	0.8125	0.5	1	0.8125	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
16	5.875	3.6875	25.125	15.9375	94	59	402	255	73	0.333333	0.197802	25	1.66667	2	17	2	17	4	2	0	5.19839	24.3333	59.8556	-3.14521	56	85	120	48	57.625	191.533	-2.09544	29	0	29	29	151	149	0	108	78	3.73333	2	1.6	1	5	2.2	1	4	2.6	1	7	3.73333	1	4	1.49333	0.4	1	0.533492	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
9	3.77778	1.77778	9.11111	4.22222	34	16	82	38	19	0.25	0.0952381	16	2	5	10	5	10	6	0	0	0.75	6.33333	8.95556	-2.11634	13	26.6667	36	18.6667	20.6667	23.6667	-2.80927	10	0	10	10	44	42	0	36	31	1.625	2	1.25	1	2	1.625	1	2	1.25	1	2	1.625	1	1	0.8125	0.5	1	0.8125	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
16	5.875	3.6875	25.125	15.9375	94	59	402	255	73	0.333333	0.197802	25	1.66667	2	17	2	17	4	2	0	5.19839	24.3333	59.8556	-3.14521	56	85	120	48	57.625	191.533	-2.09544	29	0	29	29	151	149	0	108	78	3.73333	2	1.6	1	5	2.2	1	4	2.6	1	7	3.73333	1	4	1.49333	0.4	1	0.533492	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
10	4.2	2.3	12	7.5	42	23	120	75	24	0.333333	0.142857	17	1.88889	5	11	3	5	6	0	0	1.20261	8	12.5222	-2.26073	19	33	45	23.3333	25.2667	35.2	-2.3597	12	0	12	12	57	54	0	45	40	2.11111	3	1.66667	1	3	1.88889	1	3	1.77778	1	3	2.11111	1	2	1.01852	0.5	1	0.814815	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
4	2.5	1.25	4.5	2.25	10	5	18	9	1	0	0	4	1.33333	1	3	1	3	3	0	0	0	0.333333	0.222222	-0.707107	4	5	6	4.5	4.75	1	-1	3	0	3	3	7	5	0	6	6	1.33333	1	1	1	2	1.33333	1	1	1	1	2	1.33333	1	1	0.833333	0.5	1	0.833333	0.5	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
16	5.875	3.6875	25.125	15.9375	94	59	402	255	73	0.333333	0.197802	25	1.66667	2	17	2	17	4	2	0	5.19839	24.3333	59.8556	-3.14521	56	85	120	48	57.625	191.533	-2.09544	29	0	29	29	151	149	0	108	78	3.73333	2	1.6	1	5	2.2	1	4	2.6	1	7	3.73333	1	4	1.49333	0.4	1	0.533492	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
10	4.2	2.3	12	7.5	42	23	120	75	24	0.333333	0.142857	17	1.88889	5	11	3	5	6	0	0	1.20261	8	12.5222	-2.26073	19	33	45	23.3333	25.2667	35.2	-2.3597	12	0	12	12	57	54	0	45	40	2.11111	3	1.66667	1	3	1.88889	1	3	1.77778	1	3	2.11111	1	2	1.01852	0.5	1	0.814815	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
